# BATCH 2 - Key Posts
2025-09-23-azure-resource-tags-guide.md|governance|Tagging is foundational to Azure governance and cost management.|tag-governance-247-variations,azure-tag-governance-policy,azure-costs-apps-not-subscriptions,azure-finops-complete-guide
2025-09-24-azure-cost-reports-business-reality.md|finops|CFOs don't care about subscriptions - they care about applications.|azure-finops-complete-guide,azure-costs-apps-not-subscriptions,azure-chargeback-tags-model,chris-bowman-dashboard
2025-09-24-why-most-azure-migrations-fail.md|migration|Most Azure migrations fail due to institutional knowledge loss, not technical limitations.|cloud-migration-reality-check,application-migration-checklist-azure,azure-migrate-enterprise-hybrid
2025-10-02-chris-bowman-dashboard.md|finops|The CCO Dashboard is the starting point for Azure cost visibility.|azure-finops-complete-guide,pbix-modernizer-tool,azure-cost-optimization-what-actually-works
2025-10-06-azure-debugging-ai-rule.md|ai|The 3-hour rule: escalate to AI after 3 hours of debugging.|will-ai-replace-azure-administrators-by-2030,azure-ai-collaboration-gap,three-ai-roles
2025-10-06-azure-ipam-tool.md|automation|IPAM solves Azure's lack of native IP address management.|azure-service-inventory-tool,only-1-percent-know-these-tools,private-endpoint-dns-hybrid-ad
2025-10-11-azure-costs-apps-not-subscriptions.md|finops|Subscriptions are security boundaries, not cost centers.|azure-resource-tags-guide,azure-chargeback-tags-model,azure-finops-complete-guide
2025-10-16-azure-chargeback-tags-model.md|finops|Tags are your cost model for chargeback and showback.|azure-costs-apps-not-subscriptions,azure-resource-tags-guide,tag-governance-247-variations,azure-finops-complete-guide
2025-10-17-azure-ai-30-day-test.md|ai|30 days of AI-assisted Azure operations changed my workflow permanently.|azure-debugging-ai-rule,will-ai-replace-azure-administrators-by-2030,three-ai-roles
2025-10-24-kql-multiple-systems.md|kql|KQL works across multiple Azure services - master it once, use it everywhere.|azure-vm-inventory-kql,kql-cheat-sheet-complete,kql-query-library-git
2025-11-17-ai-azure-admins-gap.md|ai|AI tools bridge the gap between what Azure admins need and what Microsoft provides.|azure-debugging-ai-rule,three-ai-roles,will-ai-replace-azure-administrators-by-2030
2025-11-17-three-ai-roles.md|ai|Azure admins need three AI roles: assistant, advisor, and automator.|azure-debugging-ai-rule,the-ai-admin,will-ai-replace-azure-administrators-by-2030
2025-11-18-the-ai-admin.md|ai|The AI-first admin role is already here.|three-ai-roles,will-ai-replace-azure-administrators-by-2030,azure-debugging-ai-rule
2025-12-06-azure-arc-ghost-registrations.md|kql|64% of our Arc servers were ghosts - here's how to find them.|azure-vm-inventory-kql,kql-query-library-git,azure-arc-vcenter-implementation-guide
2025-11-24-azure-arc-vcenter-implementation-guide.md|migration|Azure Arc for vCenter bridges on-premises VMware and Azure.|azure-arc-ghost-registrations,azure-migrate-enterprise-hybrid,cloud-migration-reality-check
2025-11-03-linux-cheat-sheet-azure-admins.md|automation|Linux commands every Azure admin needs.|linux-commands-azure-admin-career,50-linux-commands-azure,azure-osi-model-for-admins
2025-11-21-azure-dashboard-rebranding-tool.md|automation|Rebrand Power BI dashboards for multiple clients.|pbix-modernizer-tool,chris-bowman-dashboard,azure-dashboards-cloud-noc
