"Target Post","Target Title","From Post","From Title","Cluster","Link URL","Anchor Text"
"2025-11-19-open-source-enterprise-azure-ops.md","","2025-11-25-azure-openai-pricing-real-costs.md","","FinOps","/blog/open-source-enterprise-azure-ops",""
"2025-11-19-open-source-enterprise-azure-ops.md","","2025-11-25-azure-openai-pricing-real-costs.md","","AI","/blog/open-source-enterprise-azure-ops",""
"2025-11-19-open-source-enterprise-azure-ops.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","FinOps","/blog/open-source-enterprise-azure-ops",""
"2025-09-24-why-most-azure-migrations-fail.md","","2025-11-25-azure-openai-pricing-real-costs.md","","AI","/blog/why-most-azure-migrations-fail",""
"2025-09-24-why-most-azure-migrations-fail.md","","2025-11-03-powershell-7-enterprise-migration.md","","Migration","/blog/why-most-azure-migrations-fail",""
"2025-10-15-finance-accepts-monthly-opex-phones-not-cloud.md","","2025-11-25-azure-openai-pricing-real-costs.md","","FinOps","/blog/finance-accepts-monthly-opex-phones-not-cloud",""
"2025-10-15-finance-accepts-monthly-opex-phones-not-cloud.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","FinOps","/blog/finance-accepts-monthly-opex-phones-not-cloud",""
"2025-12-20-azure-policy-reality-check.md","","2025-12-09-azure-command-finder.md","","Automation","/blog/azure-policy-reality-check",""
"2025-12-20-azure-policy-reality-check.md","","2025-11-03-powershell-7-enterprise-migration.md","","Automation","/blog/azure-policy-reality-check",""
"2025-12-20-azure-policy-reality-check.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Automation","/blog/azure-policy-reality-check",""
"2025-12-20-azure-policy-reality-check.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Governance","/blog/azure-policy-reality-check",""
"2025-11-25-azure-openai-pricing-real-costs.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","FinOps","/blog/azure-openai-pricing-real-costs",""
"2025-11-03-powershell-7-enterprise-migration.md","","2025-12-09-azure-command-finder.md","","Automation","/blog/powershell-7-enterprise-migration",""
"2025-12-17-azure-tags-operational-intelligence.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Governance","/blog/azure-tags-operational-intelligence",""
"2025-10-17-azure-ai-30-day-test.md","","2025-12-09-azure-command-finder.md","","Automation","/blog/azure-ai-30-day-test",""
"2025-10-17-azure-ai-30-day-test.md","","2025-11-25-azure-openai-pricing-real-costs.md","","FinOps","/blog/azure-ai-30-day-test",""
"2025-10-17-azure-ai-30-day-test.md","","2025-11-25-azure-openai-pricing-real-costs.md","","AI","/blog/azure-ai-30-day-test",""
"2025-10-17-azure-ai-30-day-test.md","","2025-11-03-powershell-7-enterprise-migration.md","","Automation","/blog/azure-ai-30-day-test",""
"2025-10-17-azure-ai-30-day-test.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","FinOps","/blog/azure-ai-30-day-test",""
"2025-10-17-azure-ai-30-day-test.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Automation","/blog/azure-ai-30-day-test",""
"2025-10-17-azure-ai-30-day-test.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","Governance","/blog/azure-ai-30-day-test",""
"azure-cost-reporting-boardroom.md","","2025-11-25-azure-openai-pricing-real-costs.md","","FinOps","/blog/azure-cost-reporting-boardroom",""
"azure-cost-reporting-boardroom.md","","2025-10-29-four-logic-apps-every-azure-admin-needs.md","","FinOps","/blog/azure-cost-reporting-boardroom",""
