# Azure-Noob Content Optimization Tracker

Post Slug,Hub,Has Short Answer,Q&A Sections,Internal Links,Related Posts,Metadata Complete,Status,Priority,Notes
azure-cost-management-lie,finops,Y,5,8,3,Y,Complete,High,Strong AEO structure already
azure-governance-napkin-test,governance,Y,4,6,4,Y,Complete,High,Good Q&A format
cloud-migration-reality-check,migration,N,3,12,6,Y,Needs Work,High,Add Short Answer section
azure-hybrid-benefit-complete,finops,N,8,7,6,Y,Needs Work,High,Add Short Answer + improve Q&A headers
azure-openai-pricing-real-costs,finops,N,6,9,6,Y,Needs Work,High,Add Short Answer
azure-finops-complete-guide,finops,N,0,0,0,N,Not Started,High,Major cornerstone - needs full optimization
azure-policy-doesnt-fix-bad-architecture,governance,N,0,0,0,N,Not Started,High,Cornerstone post
azure-landing-zone-reality-check,governance,N,0,0,0,N,Not Started,High,Cornerstone post
azure-migration-roi-wrong,migration,N,0,0,0,N,Not Started,Medium,
azure-migrate-enterprise-hybrid,migration,N,0,0,0,N,Not Started,Medium,
azure-migration-yard-sale-rolloff,migration,N,0,0,0,N,Not Started,Medium,
application-migration-checklist-azure,migration,N,0,0,0,N,Not Started,Medium,
azure-costs-apps-not-subscriptions,finops,N,0,0,0,N,Not Started,Medium,
azure-cost-optimization-what-actually-works,finops,N,0,0,0,N,Not Started,Medium,
azure-chargeback-tags-model,finops,N,0,0,0,N,Not Started,Medium,
chris-bowman-dashboard,finops,N,0,0,0,N,Not Started,Low,Tool post
pbix-modernizer-tool,finops,N,0,0,0,N,Not Started,Low,Tool post
tag-governance-247-variations,governance,N,0,0,0,N,Not Started,Medium,
azure-tag-governance-policy,governance,N,0,0,0,N,Not Started,Medium,
azure-resource-tags-guide,governance,N,0,0,0,N,Not Started,Medium,
azure-subscriptions-security-billing-boundary,governance,N,0,0,0,N,Not Started,High,Core concept post
why-azure-tags-fail-at-scale,governance,N,0,0,0,N,Not Started,Medium,
azure-vm-automation-dependency-hell,automation,N,0,0,0,N,Not Started,Medium,
four-logic-apps-every-azure-admin-needs,automation,N,0,0,0,N,Not Started,Medium,
azure-service-inventory-tool,automation,N,0,0,0,N,Not Started,Low,Tool post
azure-ipam-tool,automation,N,0,0,0,N,Not Started,Low,Tool post
workbook-app-tool,automation,N,0,0,0,N,Not Started,Low,Tool post
azure-dashboard-rebranding-tool,automation,N,0,0,0,N,Not Started,Low,Tool post
will-ai-replace-azure-administrators-by-2030,ai,N,0,0,0,N,Not Started,High,Trending topic
azure-ai-foundry-rag-enterprise-reality,ai,N,0,0,0,N,Not Started,Medium,
azure-ai-foundry-terraform,ai,N,0,0,0,N,Not Started,Medium,
the-ai-admin,ai,N,0,0,0,N,Not Started,Medium,
three-ai-roles,ai,N,0,0,0,N,Not Started,Medium,
gartner-ai-forecast-azure-admin,ai,N,0,0,0,N,Not Started,Medium,
azure-update-manager-reality-check,operations,N,0,0,0,N,Not Started,Medium,
sccm-wsus-azure-update-manager-intune-confusion,operations,N,0,0,0,N,Not Started,Medium,
azure-support-ticket-reality,operations,N,0,0,0,N,Not Started,Medium,
azure-debugging-ai-rule,operations,N,0,0,0,N,Not Started,Low,
azure-arc-ghost-registrations,operations,N,0,0,0,N,Not Started,Medium,
azure-arc-vcenter-implementation-guide,operations,N,0,0,0,N,Not Started,Medium,
kql-cheat-sheet-complete,reference,N,0,0,0,N,Not Started,Low,Reference post
50-linux-commands-azure,reference,N,0,0,0,N,Not Started,Low,Reference post
50-windows-commands-azure,reference,N,0,0,0,N,Not Started,Low,Reference post
azure-command-finder,reference,N,0,0,0,N,Not Started,Low,Tool post
azure-icons-reference,reference,N,0,0,0,N,Not Started,Low,Reference post
azure-periodic-table-service-dictionary,reference,N,0,0,0,N,Not Started,Low,Reference post
